"","n","s_val"
"1",1,38.915
"2",2,37.44
"3",3,19.5275
"4",4,10.745
"5",5,11.8775
"6",6,18.35
"7",7,30.6625
"8",8,32.905
"9",9,33.4775
"10",10,18.0566666666667
"11",11,31.66
"12",12,30.07
"13",13,22.2075
"14",14,14.7775
"15",15,28.3025
"16",16,28.328
"17",17,31.294
"18",18,38.696
"19",19,43.294
"20",20,52.704
"21",21,55.398
"22",22,57.884
"23",23,68.056
"24",24,53.722
"25",25,30.018
"26",26,40.892
"27",27,45.184
"28",28,39.034
"29",29,38.886
"30",30,17.0325
"31",31,24.15
"32",32,37.326
"33",33,41.34
"34",34,37.995
"35",35,37.89
"36",36,41.8375
"37",37,35.325
"38",38,42.586
"39",39,56.2075
"40",40,39.334
"41",41,25.785
"42",42,32.385
"43",43,35.384
"44",44,44.496
"45",45,48.986
"46",46,52.8125
"47",47,40.695
"48",48,49.4975
"49",49,62.996
"50",50,31.5733333333333
"51",51,47.915
"52",52,37.655
"53",53,32.0075
"54",54,30.62
"55",55,36.575
"56",56,33.215
"57",57,35.8075
"58",58,48.1575
"59",59,41.48
"60",60,35.8925
"61",61,28.04
"62",62,33.18
"63",63,35.1725
"64",64,36.2433333333333
"65",65,39.154
"66",66,43.906
"67",67,33.754
"68",68,33.478
"69",69,33.96
"70",70,31.404
"71",71,27.558
"72",72,25.124
"73",73,28.816
"74",74,34.264
"75",75,26.846
"76",76,31.938
"77",77,24.6625
"78",78,28.7
"79",79,32.656
"80",80,41.466
"81",81,25.16
"82",82,30.54
"83",83,40.102
"84",84,48.17
"85",85,39.356
"86",86,34.25
"87",87,32.49
"88",88,35.684
"89",89,25.508
"90",90,28.57
"91",91,28.206
"92",92,16.82
"93",93,25.566
"94",94,29.41
"95",95,35.978
"96",96,35.654
"97",97,25.664
"98",98,24.872
"99",99,30.874
"100",100,36.13
"101",101,26.284
"102",102,20.478
"103",103,32.868
"104",104,26.944
"105",105,20.768
"106",106,23.676
"107",107,21.82
"108",108,20.868
"109",109,23.31
"110",110,26.4
"111",111,24.092
"112",112,26.79
"113",113,21.614
"114",114,25.424
"115",115,20.318
"116",116,20.658
"117",117,21.002
"118",118,18.428
"119",119,17.654
"120",120,26.336
"121",121,25.316
"122",122,20.0475
"123",123,21.175
"124",124,19.82
"125",125,16.832
"126",126,18.138
"127",127,20.614
"128",128,19.098
"129",129,19.504
"130",130,15.792
"131",131,19.666
"132",132,20.948
"133",133,20.104
"134",134,17.892
"135",135,18.216
"136",136,15.584
"137",137,15.304
"138",138,20.376
"139",139,23.16
"140",140,20.862
"141",141,19.9
"142",142,17.642
"143",143,17.538
"144",144,23.142
"145",145,21.142
"146",146,18.562
"147",147,17.468
"148",148,19.074
"149",149,18.944
"150",150,17.772
"151",151,22.525
"152",152,20.6225
"153",153,19.5075
"154",154,16.3825
"155",155,20.165
"156",156,22.935
"157",157,21.418
"158",158,16.4125
"159",159,16.12
"160",160,19.908
"161",161,18.694
"162",162,19.675
"163",163,21.116
"164",164,21.7825
"165",165,16.635
"166",166,17.265
"167",167,20.5775
"168",168,16.1433333333333
"169",169,16.6525
"170",170,14.875
"171",171,17.07
"172",172,16.4175
"173",173,16.376
"174",174,15.686
"175",175,15.614
"176",176,18.874
"177",177,21.384
"178",178,17.896
"179",179,17.624
"180",180,18.442
"181",181,19.21
"182",182,15.476
"183",183,16.126
"184",184,14.934
"185",185,15.072
"186",186,19.752
"187",187,21.32
"188",188,17.786
"189",189,15.21
"190",190,17.6975
"191",191,14.825
"192",192,14.02
"193",193,16.505
"194",194,16.515
"195",195,14.49
"196",196,15.565
"197",197,16.185
"198",198,16.61
"199",199,15.8225
"200",200,18.0525
"201",201,19.698
"202",202,20.938
"203",203,20.482
"204",204,20.138
"205",205,20.454
"206",206,21.32
"207",207,19.478
"208",208,18.708
"209",209,18.618
"210",210,18.876
"211",211,19.056
"212",212,17.782
"213",213,21.724
"214",214,21.17
"215",215,21.606
"216",216,23.532
"217",217,20.026
"218",218,18.75
"219",219,22.138
"220",220,18.95
"221",221,22.604
"222",222,24.196
"223",223,19.728
"224",224,18.056
"225",225,15.926
"226",226,17.518
"227",227,17.316
"228",228,15.226
"229",229,20.302
"230",230,18.686
"231",231,20.656
"232",232,18.35
"233",233,19.654
"234",234,16.718
"235",235,17.5425
"236",236,22.6025
"237",237,19.8375
"238",238,19.4775
"239",239,21.212
"240",240,20.768
"241",241,22.514
"242",242,26.118
"243",243,24.258
"244",244,23.868
"245",245,17.44
"246",246,16.82
"247",247,17.812
"248",248,16.888
"249",249,13.274
"250",250,16.44
"251",251,17.588
"252",252,18.378
"253",253,18.708
"254",254,21.544
"255",255,21.522
"256",256,23.614
"257",257,20.446
"258",258,15.998
"259",259,18.122
"260",260,22.1
"261",261,21.248
"262",262,19.042
"263",263,21.392
"264",264,22.304
"265",265,22.406
"266",266,19.534
"267",267,19.262
"268",268,25.974
"269",269,23.884
"270",270,19.682
"271",271,24.806
"272",272,22.934
"273",273,22.744
"274",274,27.636
"275",275,29.84
"276",276,21.414
"277",277,15.17
"278",278,20.208
"279",279,24.62
"280",280,20.436
"281",281,24.205
"282",282,16.22
"283",283,19.445
"284",284,21.3975
"285",285,25.035
"286",286,22.3475
"287",287,26.4
"288",288,29.3275
"289",289,31.78
"290",290,30.636
"291",291,38.652
"292",292,49.9575
"293",293,42.642
"294",294,32.944
"295",295,37.276
"296",296,35.42
"297",297,33.45
"298",298,32.234
"299",299,30.346
"300",300,34.498
"301",301,32.604
"302",302,32
"303",303,28.796
"304",304,21.895
"305",305,29.118
"306",306,34.3925
"307",307,23.6133333333333
"308",308,24.1633333333333
"309",309,33.0066666666667
"310",310,35.1433333333333
"311",311,28.96
"312",312,32.73
"313",313,50.79
"314",314,63.8033333333333
"315",315,58.92
"316",316,55.46
"317",317,34.935
"318",318,29.76
"319",319,25.015
"320",320,37.5075
"321",321,31.225
"322",322,29.685
"323",323,35.8375
"324",324,20.785
"325",325,24.9475
"326",326,32.0725
"327",327,38.285
"328",328,54.2625
"329",329,51.2466666666667
"330",330,37.3733333333333
"331",331,38.28
"332",332,22.09
"333",333,22.87
"334",334,37.19
"335",335,33.7466666666667
"336",336,27.6125
"337",337,33.1725
"338",338,27.5225
"339",339,25.62
"340",340,31.9675
"341",341,33.22
"342",342,30.8175
"343",343,24.3025
"344",344,15.65
"345",345,13.9033333333333
"346",346,14.85
"347",347,22.8966666666667
"348",348,42.6233333333333
"349",349,32.795
"350",350,36.5175
"351",351,45.1775
"352",352,48.45
"353",353,44.1425
"354",354,39.6225
"355",355,35.0575
"356",356,32.835
"357",357,16.27
"358",358,28.2825
"359",359,16.54
"360",360,13.5275
"361",361,15.89
"362",362,24.975
"363",363,17.1533333333333
"364",364,34.34
"365",365,35.9
